feature_name,importance
currency_3_瑞士法郎,0
financetype_3_住房储蓄银行,0
financetype_3_商业银行,0
financetype_3_外资银行,0
index_3,0
queryreqformat_1|信贷审批查询,0
latest24monthpaymentendmonth_3,0
index_4,0
overdue31to60amount_8,0
overdue61to90amount_8,0
overdue91to180amount_8,0
overdueover180amount_8,0
latest24monthpaymentendmonth,0
scheduledpaymentamount,0
stateendmonth_8,0
var_jb_4_O,0
index,0
latest24monthpaymentendmonth_4,0
overdueover180amount_7,0
overdue91to180amount_7,0
overdue61to90amount_7,0
overdue31to60amount_7,0
curroverduecyc_4,0
stateendmonth_7,0
var_jb_18_A,0
var_jb_90,0
var_jb_6_A,0
var_jb_48_专科(高职),0
financetype_4_外资银行,0
type_31|个人助学贷款,0
var_jb_70,0
var_jb_69,0
var_jb_68,0
var_jb_66,0
financetype_4_住房储蓄银行,0
curroverdueamount,0
var_jb_65,0
var_jb_56,0
var_jb_88,0
financetype_4_村镇银行,0
financetype_4_财务公司,0
class5state_2|关注,0
class5state_3|次级,0
class5state_4|可疑,0
class5state_5|损失,0
class5state_9|未知,0
var_jb_48_专升本,0
var_jb_74,0
var_jb_75,0
currency_4_港元,0
currency_4_人民币,0
var_jb_87,0
var_jb_86,0
var_jb_84,0
var_jb_83,0
state_4_1|正常,0
state_4_2|逾期,0
state_4_4|呆帐,0
state_4_5|转出,0
paymentrating_01|日,0
paymentrating_02|周,0
var_jb_82,0
paymentrating_04|季,0
paymentrating_05|半年,0
var_jb_80,0
guaranteetype_4_1|质押（含保证金）,0
var_jb_79,0
var_jb_76,0
currency_3_人民币,0
