feature_name,importance
var_jb_54_脱产,0
var_jb_39_N,0
overdue31to60amount_8,0
var_jb_54_研究生,0
var_jb_39_S,0
var_jb_39_X,0
var_jb_90,0
overdue61to90amount_7,0
var_jb_47_夜大学,0
guaranteetype_3_9|其他,0
currency_4_港元,0
state_3_2|冻结,0
var_jb_70,0
var_jb_74,0
var_jb_75,0
guaranteetype_3_1|质押（含保证金）,0
guaranteetype_3_2|抵押,0
var_jb_76,0
guaranteetype_3_3|保证,0
guaranteetype_3_4|信用/免担保,0
var_jb_91,0
paymentrating_02|周,0
state_4_5|转出,0
var_jb_68,0
state_4_4|呆帐,0
var_jb_79,0
state_4_2|逾期,0
var_jb_80,0
var_jb_83,0
var_jb_84,0
var_jb_86,0
var_jb_87,0
var_jb_6_A,0
var_jb_88,0
financetype_3_商业银行,0
financetype_3_住房储蓄银行,0
var_jb_69,0
var_jb_66,0
var_jb_47_全日制,0
var_jb_36,0
var_jb_55_非全日制,0
var_jb_27,0
index,0
var_jb_55_电视教育,0
var_jb_32,0
var_jb_55_夜大学,0
var_jb_55_在职,0
latest24monthpaymentendmonth_4,0
overdueover180amount_7,0
overdue91to180amount_7,0
var_jb_34,0
overdue31to60amount_7,0
var_jb_48_夜大电大函大普通班,0
var_jb_56,0
var_jb_37,0
var_jb_48_专升本,0
class5state_5|损失,0
class5state_4|可疑,0
class5state_3|次级,0
var_jb_38,0
stateendmonth_7,0
var_jb_41,0
index_4,0
overdue91to180amount_8,0
financetype_4_住房储蓄银行,0
latest24monthpaymentendmonth_3,0
overdue61to90amount_8,0
